,作物编号,作物名称,地块类型,种植季次,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤,地块名称,地块面积/亩,豆类,评分,作物类型,种植规模,是否种,年份,yield,area,cost,是否种豆
0,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E16,0.6,0,100.0,粮食,0.6,1.0,2023,630.2298490109022,0.6,48401.36585340464,0.0
1,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E8,0.6,0,100.0,粮食,0.18,-0.0,2023,-0.0,-0.0,-0.0,-0.0
2,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E1,0.6,0,100.0,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
3,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E3,0.6,0,100.0,粮食,0.18000040054321287,0.0,2023,0.0,0.0,0.0,0.0
4,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E4,0.6,0,100.0,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
5,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E5,0.6,0,100.0,粮食,0.18,-0.0,2023,-0.0,-0.0,-0.0,-0.0
6,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E6,0.6,0,100.0,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
7,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E7,0.6,0,100.0,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
8,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E2,0.6,0,100.0,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
9,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E9,0.6,0,100.0,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
10,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E11,0.6,0,100.0,粮食,0.4818733978271485,1.0,2023,506.15166459162367,0.4818733978271485,38872.21770542503,0.0
11,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E12,0.6,0,100.0,粮食,0.6,1.0,2023,630.2298490109022,0.6,48401.36585340464,0.0
12,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E13,0.6,0,100.0,粮食,0.5998938560485839,-0.0,2023,-0.0,-0.0,-0.0,-0.0
13,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E14,0.6,0,100.0,粮食,0.6,1.0,2023,630.2298490109022,0.6,48401.36585340464,0.0
14,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E15,0.6,0,100.0,粮食,0.6,1.0,2023,630.2298490109022,0.6,48401.36585340464,0.0
15,41,羊肚菌,普通大棚,第二季,1050.383081684837,100.0,80668.94308900773,3214.541615331994,E10,0.6,0,100.0,粮食,0.599999599456787,1.0,2023,630.2294282870878,0.599999599456787,48401.33354200699,0.0
16,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E9,0.6,0,69.93806037,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
17,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E4,0.6,0,69.93806037,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
18,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E5,0.6,0,69.93806037,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
19,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E6,0.6,0,69.93806037,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
20,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E7,0.6,0,69.93806037,粮食,0.18000080108642577,0.0,2023,0.0,0.0,0.0,0.0
21,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E8,0.6,0,69.93806037,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
22,38,榆黄菇,普通大棚,第二季,5251.9154084241845,57.5,24200.68292670232,6888.303461425701,E13,0.6,0,69.93806037,粮食,0.18,0.0,2023,0.0,0.0,0.0,0.0
